summonerId,accountId,puuid,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
3J0Prrw0WcR9gjz6GpVE2dq7qjNdXwBZ7-JLICkPD1bO87ALI2Ti2Xf53Q,gXYUQxtg7aaF6seFdjnVOuXV0HDoZKyyMl-VD-eGSdx2d8hpLCOOFWL2,haPSLoXjEl8nb33_m8jZCjztjj3XyMq5QxlFex-oRbUwr8S7Lt2sZQwXl26J4o2sjQE5pLUd7YFOTw,6502,1731745227504,97,882,I,185,149,True,False,False,False
7fduUgun7QsZrIUR6WhthUsXSCQK-OF0KIdPPTPaC8T6KgU,x54eZeth0vCd4ecEfjFlCKGyeOphfxUy73o_dj5OHSaFErF1ws0kLDhZ,6iU2T4ZxN-Qwpt2nKjykzWA-_LykBK3ZJfBYJw4INfpt2sBOF-79o10IifqPDOa5HKXVEQOKMtENrQ,1437,1731654247000,551,882,I,126,94,False,False,True,False
OkUVGOsfWJDQuSNf4KS_-KzOLAaSNardzDHK5NNmTXs9QPbTb1K6YUPrGA,ltZ1DVDYyL6ooyiLw-uszcY7nJWxDkxSSKvSP8FTtFZw6CJBuI1zNz1G,k9keSEy0H4-C0VEhtLMtjv882G8XHX6bdX--ZZe4oDG0PhYiYXiMTnwghnqx9eTaHE7DvhvB2fa5Tw,7,1731751326722,150,881,I,314,286,False,False,True,False
8SzELJnA4pk1Afq1V5Zld7RUJkDlnmveicG5oKkZ_uPNsiiuP9LdUKCrdA,MeoZ5xgR1719Y1wytQWvSwBy4_PlRlpEL6oRlgLQE_9IgJWRrfTDLfF4,xHaoE4P4KDaRjHG5gPNuufYRN07qqzlajcPk2jRNppNrZT_98V5ILx9gFW8huIrzwAj0mKxvm6mQoQ,7,1731744222198,70,879,I,219,161,False,False,False,False
aFZ6nm2rj9d8jqEwkl1M1yNwFoAS6zTel7f8GYnb__FPeBs,ddeNRw8MkOFWw0BfV9812MoyRQQih5BDHXn1240iF-zYRNbNOwUddqJO,UQ_yvtYExu8yBlhB5lDpVVxEjfLWwJROMBAcmduprWmy27igY0XMdk2zocmrsm8XugqxahXp73Wr9Q,6502,1731697494501,249,874,I,194,159,False,False,True,False
xnfa-Par-GuVVu0RwV9s67aeZ840mrA141tgkCF02XoQh_A,4aHmwYJhG45wJgJ_LTQt1Eac4D9GvRYPy1CpfXUvszMRDqg,cLmjxWavle9DVsxMqtiJXuCXOsNimaVnSHWorRKAOpA2gnP_0lOfBaZqVQHztAroVFCt4LJZPbC9sQ,3788,1731638520000,444,873,I,209,174,False,False,True,False
pVWutCDfeU9pgQCkucbun5ikHkkZNHpfNhu0GeM9jjtp26ikrD4Bg1jlKw,QakJBwAs5uq031gjURwG-NRcUSFzckoNSQJvYHIoHAWbL-scBg59z1d5,F1bO4xTW1dmp0HAYn8WAenZUOvlPLPv7Im1rxgyLG2zl8tjtSeNcKHN6VOLdoUDDLlEGq2SAfKkoIA,29,1731734268522,402,873,I,180,143,False,False,True,True
_vMW6CgTZaHWlEHdMcpTosbBxajS6O17CPmLYcb8gXa586cIAXpiPO2-Ww,E3rZQZEhUfv0ST2XIiK_vQAUtTpsN7L9WT5r4RS1Crwzggfok9UpUo58,bUaML0Vc3l_ccS-PmCdseXc9ezcM0uHCz_LzfTVZ3plULegtBGDYr0Z8k2kHu16ORvy9TqGuo085qA,7,1731568736000,176,873,I,86,44,False,False,True,False
x4CNEvxrQgFGYLOICzF81UByHqE55fyZwaOcejpYT-IJJA,ZxgniY4M4y42EY9UruWljUyWh4FzZvCMFCY34VxDj0u3,sKBTbKaf4jclopTaMTngBKO2ZeBb17O8iLpcCY5rsKAFvKlwv0ZdRGgKAUBcsjibm8sWvkez9UxSSw,5187,1731691545419,683,872,I,103,69,False,False,True,True
kx7vjsr5VDiC4Wg6eeCkYPpomYi6tw9WMqlRPeAJANoxskr50ZgtA6bWEA,h2EGowYwHT-Mfv1QBT_y3kAJeJ6QT-l6kH-gWRUrwif2zJXPWfTCJbHp,4nDOT58lzhljDJBSqDcJFyu0arv0SUh9c6fb_ubyhl1-LBYlns8TItc0VY6r-2CYjOGZAM7aTEqSbw,7,1731734428428,209,871,I,125,89,False,False,True,False
gjxLGlZkd042c05uniTglFbLnR2NUw7hrJXIERxw87DYa65b,ZY751skWgFjp-bcTfOvu4JOfqwbXiBxvhfO0F3-CYk2_oge0jXvs9i0O,S5ykIbcsK17nastxj_YDqUHVcJg4VeYYeCoyP39k4nwe0YHATiKhMvwQU9uVynilTlWL6pS6yiMgwg,5118,1731659703000,587,870,I,251,223,True,False,False,False
0mE-jaJZOUgvQ8HMVmwrDU_RZ_VrRQTUC_w78uMb3NKHUQ,59YL0RVwXAexbSsiCJJLIutpxtzOhybdedD19UR8bkT2,DtJxLsPRti3_k-ykC8w7jUCwqZNoN4H9y_28gJsJCSIhc2WBHieNPEFR7bJORRrogX1hg2FxRdlxow,6207,1731747759342,872,870,I,192,165,False,False,False,False
LF62JtkefDKn7fOadnISlPc6WrdXSHGmSaX0TPp4zIGKD72UztRd1S0tvA,Q7C0CJIRrsEsWyxq_dbu5_YaN6FadSW2QoPp5zNKiEM2-L5gLqgbTZWb,GbKu6xT97YptH7hUn1avVhHcLUQYwWmHCZELPIm8Ti7wURd5TzGVbVnfvsxNM1qz88Ngpi5teU1BVw,3231,1731668971127,141,868,I,115,73,False,False,True,True
3GPRuDh-1MkO4rP50NwQuDCjvZQdNNfEnb8K9Idfp2eCDim86a7MJrh-_A,cUNvI6Dx-wYwz0HfUOYJkdUc3g8sTeq9xaaGxi8MDTN7r-2Q1DnOMgyY,LqgoPa_VnpcCBqzu29bWPRikKqXHD8jrwonbnAk9NoUOkZLC0sK_AteMHxEFcjCu3JwAsZLSl7E-oQ,3002,1731618971000,342,867,I,119,76,False,False,False,False
UZY9rPe8OdsXAEGVPGDW6FZm94xE8Xt8CCkaUVgC2AqDSf7iyMyjpfjqSA,IX46s4xvCyxyMY26QQBwGXX_hjdI2hleM7BNfUzhzd1DHD7CwvXDI4sl,iZ1dPbriPHGdLcPzTBqQMi9IBzKRfteRNJInSu-SRI3IKSY4ouuDsiYVChZ5DlgjXleX7nNGGV2uBg,4794,1731325352000,372,864,I,232,197,False,False,True,True
5GCTsPavBcrAipcbYMAB80AJsV__RdKRlTSd0dH1Z1V4rxw,fyqzXLCvatd6G-HO_k1cKKr2KA3A4ivmhs_0Si1jXeIgM2eqD3bODZMf,2cm5jlv7ONDUa1kxN7c527P0USq2TNeoi1asmWnvP7k7X3gq1euVN8AJBVlwiGRv5Rp4uFPf4zB8kw,5736,1731694182000,156,863,I,98,48,False,False,True,True
