summonerId,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
vYrN42zUWjXyP6c2DypruqBt-Z3Q9nf9yWMc2vNsyvHZOj53kxIatQPM2g,1016,I,134,70,False,False,False,True
01sAISBM_IdM5gp-IX6rC2lX3TXmWDKlrdS6gaCDjUu1In9a2X6T8LAVJw,1015,I,180,131,False,False,False,False
yGFr8E7XV_V4wzHbOYUSFBZunSrJXLtJ8GU9fpqMQlB9I82Q73ikhgWArQ,1014,I,132,87,False,False,True,False
GxENariSg_ovK88ldJSgL_mNoac5V19co6f2cwKNubtLQfo,1012,I,260,218,True,False,False,True
Vyt4cIZNmWeyNU0RdVfiF-cGDZCfsxZJGUpUgNF5_ordNNY,1012,I,179,140,True,False,False,False
yi4FZbn-4cR-MvSlO_rrkva_xmTic1fmuAUrW4GUUUHVA7b1cgFf0dSVuw,1012,I,107,61,False,False,True,True
5WnK7H02Q0MuHlp1YyvUQ-cXVQSMgxkfoGg4mK1pXk7CeLg,1011,I,215,180,True,False,False,True
jqZk0gQSRqWO_d8qOByW6B2sSRczSuGEaznjPUdhB790gWw,1011,I,99,54,False,False,False,False
rDv_6Q-yOiBjv7zDJ_QO3_dmUYNEGCgPTAKnrtLiWiXdG5Y,1010,I,82,38,False,False,False,False
FT1JSbqKgWmpJ5iKt5P9FyanZFvg9l_Qk6lsjNiNrJXg9IL7O-TnoT3HMg,1009,I,174,138,True,False,False,False
BaSl8_hDlUXUDlaaoybYUEP55WFFEO5_SPT6zvmTFmaXpgE,1009,I,140,98,True,False,False,True
Jlz0hiZh1bk4Z-IRNXUb2NozrdDYqrfX4ldstG1dD0OudoA,1009,I,75,31,False,False,True,False
mL_mEzj2ZhMMzcsKd1dZD6Lbp-0-TnuDQxwhZp82ASKzOFilVpYB28mXGg,1008,I,141,103,False,False,False,False
RtFTI79MCFZjASReIAO4qMLfJk3TtcDOQR4JHriIE2XQFSkzVvxG5bIl7w,1003,I,213,177,True,False,False,False
rGTBnr0lOaL2z6zEhiZrMgWW7aJ-6Ctm8paOmfBvL0hncwktvkSHsfB-Rw,1003,I,172,117,False,False,False,True
6KxnenrZ7YCUg3ZmnxD99MoCk4KchPDmJaxAvEUQk4i_A5Q,1001,I,136,104,True,False,False,False
8Nl8-pPWOrXoZthVCGa1JarRcS1PWHJzAfpm5YJCjGrMH-cctSDZFVpk3g,992,I,393,359,False,False,True,True
uE5w2YL3RNsaW2xG2CqTg08qEQAbrp8RAQ1o2Cl590KRB2FuLJu83Xbdiw,990,I,451,414,False,False,False,False
Q5F5ZGVEJBeVYe_uFX7l5sumXDliqJlTOXjXov473Q5NmW_YT-8NfBSfyw,988,I,71,29,False,False,False,False
BMxOkjWeZsrIzfnQfo_7Sp6WN54FIz56E9VkmTv8qhXYc44,987,I,237,204,False,False,False,True
UjeqyVjSZC_8pu1aUkfh8HEtxg8FQ0aZS4J8QETupn7Xg7qstL0yU9f_0w,986,I,246,211,True,False,False,False
FtJHs5fZTvDL_iThZDeiP3sLjvLHOtj0Wm-a6M7om_-_t6s,982,I,225,190,True,False,False,False
oY5eENzKtXlr2E0g7EAFC7wE_vQRrn1OOUiWMSR2sDo11x0p8sIaeIHYiw,981,I,228,193,False,False,True,False
Y0ZP3660niOPpVnzjBeXeKTixhB-Sk34zW6g_A8J0UekNuY6agOiR2jUDA,980,I,209,177,True,False,False,False
gAEK9DaEuVH972_DbczchcO9ejXv3gqGa70pvoDCfAePoIs,980,I,172,136,True,False,False,True
JucP8JcrP-9UHZ6n1Y7k3uCNu5W55KGK72NWt429JbrnYlM,979,I,112,68,False,False,False,False
NynnVoEQyF_Qt2hfz8NhRaSZmMbR5RKaHGxEncSJiT11F_c,978,I,216,180,True,False,False,False
JIOZq_FUcWntV9fPjm-f-icAUaUBz8RUGO3LBXjL2qfKzxHfY9-6_skV_g,977,I,178,126,False,False,False,False
UR1vOrJ0bnkcUy4Xz6rZ6i2LjDAbqP_Cz3APP19OlAI4ilkyKu84k3Equg,976,I,341,302,True,False,False,False
0jbP-8Ww7kns9mna18ajYu5zbeEixJELQPmglp1s9hhID8OTy-m65I52mA,976,I,251,227,True,False,False,False
QDHUw5V8yCmgV4r34uEHeNg4uxk1UnpjjbeuDr2YjicHxmXB6gDRcQCPWA,970,I,215,168,False,False,True,False
o-dTNgaz21_EloKw37a4LVsx2dUxYc1XPIF5FCQiK4aNwcI,966,I,268,232,False,False,False,False
K9yXf3gWi5cKlAx9pCPSSAP019y13nVjVQdt1RECWbsOb5PG7UZ18et8-Q,966,I,179,143,False,False,True,False
loDq_1E5MCPb__VyT0DuqrX6047OTuxvxvj6E8AVHRymiNM,963,I,134,93,False,False,False,True
f0Gs6lGv9hf1EjO4BVtVievoNZgrNpa7B24OhrDmvS8ZKzBmILlU0dqcbA,962,I,136,102,True,False,False,False
G-HtRUPHzl-oxxuyzbwwZCLSUhdRgdzKTF7-W4JJyni9lqCHufVtdcIw2A,961,I,113,78,False,False,False,True
jSE6szQTm2CEE_5N62HikDvWQP3kAHdd25QCDyI-OtzhltE,961,I,87,44,False,False,True,False
94ST2omqjXCSP-An-qJQ7luMM2aSLr9cDSA5T5Lqs6c6cituUL2Yi37asw,960,I,448,385,False,False,True,False
4teFDPHI24KKE9mPxjt-HGHimoDv389xn1ZlCcqckeyYqak,960,I,86,45,False,False,True,False
iGCpx3c024mkL_n22p_a7TY7QYaslpiYLSenKCpTFiZ3nzf8moF0j0JheQ,959,I,159,121,False,False,False,False
NH3cX8i55fP4OyqnrxPE4DsDrKf0RBVfvZKM-TmliT0syN9_zKpGjdcsFw,955,I,259,224,False,False,False,False
cC23BA3x-Qr87fNc-pRb_KFZKZ3B-yNDUwUkCulOX7yogQ,954,I,378,350,False,False,True,False
amzjM_8vub7G1KhYNDLgdYF9L7Yb8KhVu8RfC8vG7qPC6UU,953,I,158,122,False,False,True,False
kZ2z_DIg0x7iS5D8XRL7i2gWM2p2YB7cVy5EyrY1BLAEi8Q9TqWJff0n5w,952,I,128,86,False,False,False,False
yzR_Iu4UuMrgMeJCHQak5spDn02kP1ne4MeBl5OLvHCHvyt6hY_nciZwxg,949,I,190,154,False,False,True,False
GQmeHI7WaveFvShP_Jaxhz6xW0Q45vZPu-_0nKBXfFZAFaM,945,I,380,351,False,False,True,False
k3aLE6LfBsQX74fbl0TlUE25AmGfJm2TPhbyVIf68sPqGHTtP04Ovc9ZMw,944,I,317,282,True,False,False,False
yTbEfTtSZEYRrAq4u6eiTtZAeA5kjttFcXn8K9csoxKfzG9eTpn4XvnJPA,944,I,227,185,False,False,False,False
ZGOGJqPjHJIWkbJ63G1zbK1WDKet036t2xnn7AhHSMhLFRxyJvfIKsOYJw,944,I,211,177,True,False,False,False
MQ8VSk8TJ8kswkN78Z5XbNsxAVYE5S-mbOW_RQ9D2M6V0S8at4Qmfnkt_Q,942,I,198,152,False,False,True,False
qNIERwXgt54rVl1x_-w5Qrg79byXg7eOJQ3MgMkgbKZgXv8scTmk6gp66w,938,I,121,84,False,False,True,False
eOhMOMHMBTyaAcW6jzovxTjg6H4-qUKmcSuSqoaZb3VB3vTxZdsiokj1Iw,937,I,229,196,True,False,False,False
Zp07LosXmUKqf6GWCQYu-X9jJxBayQic3bbJgIsXe5KpJrihK7IlqBbEIA,937,I,213,167,False,False,True,False
UhdVkK0ga-vtsdikhFB0wIvxWai8QQ2D6uVufETNRvzmSa4,937,I,93,45,False,False,True,False
hZYUmgkpQLZQNvOlVN1f0sC26VPtpR4ys_oNCvHKX2wOXN4,935,I,154,112,False,False,True,False
bvEgIjDFn_0LXqRSMKIk6mhuhS9OigNtsq1YH_JEPEMPZT4,934,I,127,87,False,False,False,True
Sb4zEvKZqx5rRk_3zC9_UgKLNbyQ1u-WSAyRQUfVrjnhQEGd,933,I,106,63,False,False,True,False
zp5T7BkWpa507CYwqD4L7_d9mzy-927XL8HYsOfM0hvgtPdgB-s4EV-fAA,930,I,158,126,False,False,False,False
Id6z5Dad-HeGFtJqR2C5AJtLXitKlR6mDqxVrwzRXyTdQ1nTF-NnwuYxXQ,928,I,216,172,False,False,True,False
gqQOKQqMLPsJWaPVJxrOXFbparQ5Qms7bFDKM5eTK6BwWCLzczb-B1Vdjw,925,I,131,84,False,False,True,True
zm5EYfrmfRT-Ls9Ngjypwyp4a_kEglBkPnJyKsxNtG7HiGCWPgZMatKXQw,922,I,248,219,True,False,False,False
fw4-MF0pB6kCMHgKTqQrr3h2a4r0nS-cJmyVlYsYV3n-Onk,922,I,186,160,True,False,False,False
2ooMdplVm1HZL7H1qiAkUUEmJSHeh8zO2zvedS61bt8Y14kgTcXRtwRC5w,922,I,150,111,True,False,False,False
